time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
2022-12-29 8:20:45.4150,-0.212,-0.146,-0.964,0.47,-0.79,0.27,-1.43,-1.33,-0.15
2022-12-29 8:20:45.4250,-0.15,-0.18,-0.872,0.0,-0.58,-0.47,-1.41,-1.15,-0.09
2022-12-29 8:20:45.4360,-0.1,-0.241,-0.79,-0.75,0.09,-1.44,-1.26,-0.86,0.05
2022-12-29 8:20:45.4450,-0.123,-0.298,-0.754,-0.84,0.81,-1.96,-1.04,-0.39,0.26
2022-12-29 8:20:45.4550,-0.165,-0.303,-0.773,-0.4,1.19,-2.03,-0.79,0.08,0.43
2022-12-29 8:20:45.4650,-0.159,-0.27,-0.863,-0.25,0.99,-1.37,-0.58,0.31,0.45
2022-12-29 8:20:45.4750,-0.146,-0.245,-0.941,-0.41,0.77,-0.49,-0.45,0.42,0.37
2022-12-29 8:20:45.4850,-0.169,-0.211,-0.984,-0.28,0.54,0.03,-0.38,0.47,0.29
2022-12-29 8:20:45.4950,-0.192,-0.167,-0.993,0.1,0.11,0.24,-0.42,0.49,0.19
2022-12-29 8:20:45.5050,-0.167,-0.193,-0.978,-0.02,0.16,0.1,-0.46,0.67,0.18
2022-12-29 8:20:45.5150,-0.213,-0.213,-0.972,0.22,0.51,0.03,-0.5,0.73,0.21
2022-12-29 8:20:45.5250,-0.196,-0.225,-0.92,0.53,0.68,-0.32,-0.46,0.78,0.28
2022-12-29 8:20:45.5350,-0.149,-0.207,-0.875,0.1,0.72,-0.87,-0.4,0.95,0.36
2022-12-29 8:20:45.5450,-0.104,-0.162,-0.81,-0.19,0.32,-1.4,-0.28,1.17,0.38
2022-12-29 8:20:45.5550,-0.07,-0.162,-0.788,-0.51,0.14,-1.92,-0.13,1.33,0.35
2022-12-29 8:20:45.5650,-0.07,-0.209,-0.791,-0.46,0.47,-1.81,0.02,1.54,0.35
2022-12-29 8:20:45.5750,-0.007,-0.238,-0.683,-0.58,0.9,-2.5,0.22,1.98,0.37
2022-12-29 8:20:45.5850,0.054,-0.215,-0.61,-1.11,0.78,-3.57,0.46,2.4,0.33
2022-12-29 8:20:45.5950,0.088,-0.215,-0.688,-1.27,0.57,-3.41,0.72,2.75,0.37
2022-12-29 8:20:45.6050,0.08,-0.253,-0.858,-1.08,0.73,-1.9,1.0,3.1,0.52
2022-12-29 8:20:45.6150,0.038,-0.305,-0.992,-0.43,1.12,-0.34,1.26,3.27,0.78
2022-12-29 8:20:45.6240,0.048,-0.347,-1.04,0.01,1.43,0.48,1.55,3.25,1.05
2022-12-29 8:20:45.6350,0.052,-0.38,-1.01,0.09,1.61,0.53,1.85,3.14,1.3
2022-12-29 8:20:45.6440,-0.018,-0.371,-0.933,0.77,1.53,-0.07,2.04,2.94,1.48
